ind_rr,ind_pulse,ind_rhythm,ind_spo2,ind_gcs,ind_time_to_hems,beta_intercept,beta_time_to_hems,beta_time_to_hems_p3,beta_gcs,beta_age,beta_age_p2,beta_age_p3,beta_medical_facility,beta_code_stroke,beta_code_cardiac_arr,beta_code_respitory,beta_code_other,beta_code_neurological,beta_code_psyc_intox,beta_code_chest_pain,beta_code_trauma,beta_pulse_p3,beta_cardiac_rhythm,beta_rr,beta_rr_p3,beta_sex_male,beta_spo2_p3,beta_vehicle_ground_unit,beta_pulse,beta_spo2,beta_gcs_p2,beta_gcs_p3,beta_time_to_hems_p2,beta_pulse_p2,beta_spo2_p2
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1.3824025403528943,0.00476913907410002,0,-0.26367042080975256,-0.0026907326008490454,3.201003160728262e-4,5.74911708161565e-7,0.10159470244199588,0.5528291633965546,0.4195237105001416,0.48261158270708715,-0.2841710610004242,-0.6293988703606851,-2.4259627592121786,-0.08650529025128768,0.24625588792225855,0,1.640613417805571,-0.022081714127223467,2.924775494535153e-7,-0.03354290840367295,0,-0.08249429386870887,0,0,0,0,0,0,0
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,-0.4469963046995723,0.008601789516209827,-3.317259053303688e-7,-0.2683050586500171,-0.0074043838918023885,3.939432806256131e-4,1.6807413147339888e-7,0.11533522490609319,0.2852183726710996,0.21120312157504498,0.252887216485727,-0.3619662862884953,-0.8836930456239609,-2.569377519908752,-0.17490379519134153,0,0,1.7350769911063237,0,0,-0.045620961412838015,0,-0.07036738876198684,0,0,0,0,0,0,0
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2.4386609280332943,0.0015631251605000046,0,-0.33304817807114306,0.001089819482701876,2.241668999687924e-4,1.1115308120481981e-6,0,0.45651336795558306,1.2795129255603555,0.5224245833543969,-0.2658337574510279,-0.7804351819861695,-2.7065677383052393,0,0.2279251002282265,-2.8545657412366892e-8,0,-0.024433882630608816,3.0912254240482284e-7,0,0,-0.038366280231179516,-0.001727197121976532,0,0,1.730579767033263e-4,0,0,0
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.43212727024330516,0.0018572103645843395,0,-0.296190257668356,-0.002566841883682224,2.61485030485125e-4,9.050785220852059e-7,0,0.14618263720968297,1.1798101229201534,0.3396211400188814,-0.2976395677619946,-1.0437155052986413,-2.8229819996338836,0.08329210436839418,0,0,0,0,0,0,0,-0.03330988272632011,-0.003494932663213075,0,0,0,0,0,0
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2.0962446221562474,0.001627678024000541,0,-0.33259070960937714,0.00289163659545714,1.9887021908793437e-4,1.2661274678981758e-6,0,0.5859570859282163,1.374752624440272,0.6063945150878935,-0.15184190553772764,-0.6660690493620998,-2.567914420505094,0.1876849154512239,0.3563224153729613,0,0,-0.0245626839136666,3.0873931318018185e-7,0,0,-0.04210231669267769,0,0,0,1.7158419467206418e-4,0,0,0
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.04965245669609204,0.0020205085472042527,0,-0.2951830126393352,-6.010904194505832e-4,2.383437513817242e-4,1.046371617177094e-6,0,0.1368338029968136,1.1404333242262048,0.2705435563144925,-0.3129580429806785,-1.0688637588786125,-2.808709806329317,0,0,0,0,0,0,0,0,-0.03703269800120691,0,0,0,0,0,0,0
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.1360663276553924,0.017623824761010133,0,0,-0.0019672848660273624,2.8466610597912575e-4,2.989470548415384e-7,0.22047016155159188,1.5971803909130338,1.8222396819320514,-0.05329319895833872,-0.0554911344706934,0.4397123251433614,-1.2469083046322216,-0.8427746030698496,0.5813868553101217,-2.87808837614284e-6,2.3813084798300155,-0.024082049942552777,3.490347109592638e-7,-0.06671001925762432,-3.980819152467638e-6,-0.051444012280056343,-0.08782857487939828,0.0369905074594709,0,0,-1.0184016747170586e-4,8.813889904762626e-4,0
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.8474251795860825,0.039632299497041,2.5537403486545575e-6,0,-0.006487011343120844,3.803102775982506e-4,-3.373681378072625e-7,0.2383019724873844,1.5307408507079328,1.7540046428233051,-0.17898780190100128,-0.017210000248658708,0.3470750213643394,-1.2618150351726716,-0.8377418860962002,0.4880847934829324,-3.087483924205533e-6,2.4617740635516556,0,0,-0.08487945934797816,-4.355189894698792e-6,-0.028523971399735195,-0.09817775122079435,0.0407890262952491,0,0,-5.500498017533758e-4,9.644702690182038e-4,0
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-1.5336259234467213,0.011570667283417668,-4.70423166948532e-7,0,0.0012255428471107262,2.329359535679396e-4,6.362845523063931e-7,0.21060576893429403,1.6326964238199375,1.8979801811725179,-0.059475398784107625,-0.07397385139998446,0.4618559027029313,-1.1790566386734596,-0.8870263266162743,0.6245122401245332,0,2.20376969255563,-0.024959259150150556,3.568223712056066e-7,-0.07147469465893432,-3.831840271167444e-6,-0.058642838842578905,0,0.03490490900206979,0,0,0,0,0
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-3.737744353859983,0.01291440073606786,-5.402946106471594e-7,0,-0.002778579751088361,3.142397275267311e-4,1.0461408740771954e-7,0.22534452635471958,1.5577608490753554,1.8314040001810077,-0.19998191558086095,-0.01845993271842544,0.3625187775216862,-1.1933248053064223,-0.8681724999949355,0.5259461243579516,0,2.288612235576145,0,0,-0.08882563165716537,-4.211027036610817e-6,-0.04920431410982649,0,0.03852028835707314,0,0,0,0,0
